MaTrieuChung,TenTrieuChung,LaTrieuChungChinh,TrieuChungCha,CauHoi,TuKhoaChinh,TuKhoaPhu
TC001,Sốt,TRUE,,Bạn có bị sốt không? (Có/Không),"sốt,nóng người","thân nhiệt cao"
TC002,Đau đầu,TRUE,,Bạn có bị đau đầu không? (Có/Không),"đau đầu,nhức đầu"
TC002_1,Vị trí đau đầu,FALSE,TC002,Cơn đau đầu của bạn thường ở vị trí nào ,"vị trí đau,đau ở đâu"
TC002_2,Kiểu đau đầu,FALSE,TC002,Kiểu đau đầu của bạn là gì ,"kiểu đau,đau như thế nào"
TC002_3,Đau đầu kèm theo,FALSE,TC002,Khi đau đầu bạn có kèm theo buồn nôn, nhạy cảm ánh sáng/tiếng ồn không?,"buồn nôn,nhạy cảm ánh sáng,nhạy cảm tiếng ồn"
TC003,Ho,TRUE,,Bạn có bị ho không? (Có/Không),"ho,khó chịu ở họng"
TC003_1,Kiểu ho,FALSE,TC003,Bạn ho khan hay ho có đờm?,"ho khan,ho có đờm"
TC003_2,Ho ra máu,FALSE,TC003,Bạn có ho ra máu không?,"ho ra máu"
TC004,Mệt mỏi,TRUE,,Bạn có cảm thấy mệt mỏi không? (Có/Không),"mệt mỏi,uể oải,kiệt sức"
TC005,Hắt hơi,TRUE,,Bạn có bị hắt hơi hoặc sổ mũi không? (Có/Không),"hắt hơi,sổ mũi,chảy nước mũi"
TC006,Mất vị giác/khứu giác,TRUE,,Bạn có bị mất vị giác hoặc khứu giác không? (Có/Không),"mất vị giá,mất khứu giác,không nếm,không ngửi"
TC007,Ngứa mắt,TRUE,,Bạn có bị ngứa mắt không? (Có/Không),"ngứa mắt,mắt khó chịu"
TC008,Nghẹt mũi,TRUE,,Bạn có bị nghẹt mũi không? (Có/Không),"nghẹt mũi,khó thở bằng mũi"
TC009,Đau họng,TRUE,,Bạn có bị đau họng không? (Có/Không),"đau họng,rát họng"
TC009_1,Nuốt đau/khó,FALSE,TC009,Bạn có cảm thấy đau hoặc khó khăn khi nuốt không?,"nuốt đau,nuốt khó"
